,SEM_PRI,0,1,2,3,4,CASES
0,200701,28.0,0.0,0.0,1.0,0.0,29.0
1,200702,44.0,0.0,0.0,3.0,0.0,47.0
2,200703,62.0,0.0,0.0,5.0,0.0,67.0
3,200704,93.0,0.0,0.0,0.0,0.0,93.0
4,200705,138.0,0.0,0.0,0.0,0.0,138.0
5,200706,154.0,0.0,0.0,0.0,0.0,154.0
6,200707,149.0,0.0,0.0,0.0,0.0,149.0
7,200708,151.0,0.0,0.0,0.0,0.0,151.0
8,200709,204.0,0.0,0.0,1.0,0.0,205.0
9,200710,230.0,0.0,0.0,2.0,0.0,232.0
10,200711,297.0,0.0,0.0,0.0,0.0,297.0
11,200712,320.0,0.0,0.0,0.0,0.0,320.0
12,200713,269.0,0.0,0.0,0.0,0.0,269.0
13,200714,230.0,0.0,0.0,3.0,0.0,233.0
14,200715,276.0,0.0,1.0,1.0,0.0,278.0
15,200716,219.0,0.0,1.0,3.0,0.0,223.0
16,200717,172.0,0.0,0.0,1.0,0.0,173.0
17,200718,309.0,0.0,1.0,0.0,0.0,310.0
18,200719,339.0,0.0,0.0,1.0,0.0,340.0
19,200720,225.0,0.0,0.0,2.0,0.0,227.0
20,200721,256.0,0.0,0.0,0.0,0.0,256.0
21,200722,153.0,0.0,0.0,0.0,0.0,153.0
22,200723,157.0,0.0,0.0,0.0,0.0,157.0
23,200724,214.0,0.0,1.0,0.0,0.0,215.0
24,200725,156.0,0.0,0.0,0.0,0.0,156.0
25,200726,119.0,0.0,1.0,0.0,0.0,120.0
26,200727,64.0,0.0,0.0,0.0,0.0,64.0
27,200728,78.0,0.0,0.0,0.0,0.0,78.0
28,200729,81.0,0.0,0.0,0.0,0.0,81.0
29,200730,87.0,0.0,1.0,0.0,0.0,88.0
30,200731,63.0,0.0,0.0,1.0,0.0,64.0
31,200732,72.0,0.0,1.0,0.0,0.0,73.0
32,200733,47.0,0.0,1.0,0.0,0.0,48.0
33,200734,38.0,0.0,0.0,0.0,0.0,38.0
34,200735,59.0,0.0,0.0,0.0,0.0,59.0
35,200736,25.0,0.0,0.0,0.0,0.0,25.0
36,200737,39.0,0.0,0.0,0.0,0.0,39.0
37,200738,42.0,0.0,0.0,0.0,0.0,42.0
38,200739,28.0,0.0,0.0,0.0,0.0,28.0
39,200740,18.0,0.0,0.0,0.0,0.0,18.0
40,200741,25.0,0.0,0.0,0.0,0.0,25.0
41,200742,35.0,0.0,0.0,0.0,0.0,35.0
42,200743,38.0,0.0,0.0,0.0,0.0,38.0
43,200744,49.0,0.0,1.0,0.0,0.0,50.0
44,200745,71.0,0.0,2.0,0.0,0.0,73.0
45,200746,88.0,0.0,0.0,1.0,0.0,89.0
46,200747,138.0,0.0,0.0,1.0,0.0,139.0
47,200748,120.0,0.0,0.0,3.0,0.0,123.0
48,200749,131.0,0.0,1.0,1.0,0.0,133.0
49,200750,208.0,0.0,1.0,0.0,0.0,209.0
50,200751,248.0,0.0,0.0,1.0,0.0,249.0
51,200752,229.0,0.0,0.0,0.0,0.0,229.0
52,200801,557.0,0.0,1.0,0.0,0.0,558.0
53,200802,740.0,0.0,2.0,1.0,0.0,743.0
54,200803,946.0,0.0,0.0,0.0,0.0,946.0
55,200804,956.0,0.0,5.0,0.0,0.0,961.0
56,200805,670.0,0.0,1.0,0.0,0.0,671.0
57,200806,824.0,0.0,4.0,2.0,0.0,830.0
58,200807,1076.0,0.0,5.0,3.0,0.0,1084.0
59,200808,1404.0,0.0,5.0,0.0,0.0,1409.0
60,200809,1708.0,0.0,5.0,0.0,0.0,1713.0
61,200810,2343.0,0.0,9.0,1.0,0.0,2353.0
62,200811,2751.0,0.0,14.0,2.0,0.0,2767.0
63,200812,2535.0,0.0,3.0,0.0,0.0,2538.0
64,200813,3978.0,0.0,11.0,0.0,0.0,3989.0
65,200814,3426.0,0.0,3.0,0.0,0.0,3429.0
66,200815,2543.0,0.0,0.0,0.0,0.0,2543.0
67,200816,1923.0,0.0,2.0,0.0,0.0,1925.0
68,200817,1385.0,0.0,2.0,0.0,0.0,1387.0
69,200818,889.0,0.0,2.0,0.0,0.0,891.0
70,200819,638.0,0.0,0.0,0.0,0.0,638.0
71,200820,403.0,0.0,2.0,0.0,0.0,405.0
72,200821,257.0,0.0,0.0,0.0,0.0,257.0
73,200822,202.0,0.0,2.0,0.0,0.0,204.0
74,200823,80.0,0.0,0.0,0.0,0.0,80.0
75,200824,110.0,0.0,1.0,0.0,0.0,111.0
76,200825,68.0,0.0,0.0,0.0,0.0,68.0
77,200826,36.0,0.0,0.0,0.0,0.0,36.0
78,200827,36.0,0.0,0.0,0.0,0.0,36.0
79,200828,24.0,0.0,0.0,0.0,0.0,24.0
80,200829,35.0,0.0,0.0,0.0,0.0,35.0
81,200830,69.0,0.0,0.0,0.0,0.0,69.0
82,200831,12.0,0.0,0.0,0.0,0.0,12.0
83,200832,28.0,0.0,0.0,0.0,0.0,28.0
84,200833,12.0,0.0,0.0,0.0,0.0,12.0
85,200834,15.0,0.0,0.0,0.0,0.0,15.0
86,200835,6.0,0.0,0.0,0.0,0.0,6.0
87,200836,11.0,0.0,0.0,0.0,0.0,11.0
88,200837,18.0,0.0,0.0,0.0,0.0,18.0
89,200838,5.0,0.0,0.0,1.0,0.0,6.0
90,200839,15.0,0.0,0.0,0.0,0.0,15.0
91,200840,8.0,0.0,0.0,0.0,0.0,8.0
92,200841,8.0,0.0,0.0,0.0,0.0,8.0
93,200842,24.0,0.0,0.0,0.0,0.0,24.0
94,200843,22.0,0.0,0.0,0.0,0.0,22.0
95,200844,18.0,0.0,0.0,0.0,0.0,18.0
96,200845,28.0,0.0,0.0,0.0,0.0,28.0
97,200846,36.0,0.0,0.0,0.0,0.0,36.0
98,200847,55.0,0.0,0.0,0.0,0.0,55.0
99,200848,39.0,0.0,0.0,0.0,0.0,39.0
100,200849,62.0,0.0,0.0,0.0,0.0,62.0
101,200850,42.0,0.0,0.0,0.0,0.0,42.0
102,200851,40.0,0.0,0.0,0.0,0.0,40.0
103,200852,33.0,0.0,0.0,0.0,0.0,33.0
104,200853,35.0,0.0,0.0,0.0,0.0,35.0
105,200901,24.0,0.0,0.0,0.0,0.0,24.0
106,200902,44.0,0.0,0.0,0.0,0.0,44.0
107,200903,34.0,0.0,0.0,0.0,0.0,34.0
108,200904,42.0,0.0,1.0,0.0,0.0,43.0
109,200905,73.0,0.0,0.0,0.0,0.0,73.0
110,200906,66.0,0.0,0.0,0.0,0.0,66.0
111,200907,32.0,0.0,0.0,0.0,0.0,32.0
112,200908,19.0,0.0,0.0,0.0,0.0,19.0
113,200909,32.0,0.0,0.0,0.0,0.0,32.0
114,200910,26.0,0.0,0.0,0.0,0.0,26.0
115,200911,36.0,0.0,0.0,0.0,0.0,36.0
116,200912,26.0,0.0,0.0,0.0,0.0,26.0
117,200913,13.0,0.0,0.0,0.0,0.0,13.0
118,200914,16.0,0.0,0.0,0.0,0.0,16.0
119,200915,10.0,0.0,0.0,0.0,0.0,10.0
120,200916,9.0,0.0,0.0,0.0,0.0,9.0
121,200917,7.0,0.0,0.0,0.0,0.0,7.0
122,200918,7.0,0.0,0.0,0.0,0.0,7.0
123,200919,10.0,0.0,0.0,0.0,0.0,10.0
124,200920,6.0,0.0,0.0,0.0,0.0,6.0
125,200921,7.0,0.0,0.0,0.0,0.0,7.0
126,200922,8.0,0.0,0.0,0.0,0.0,8.0
127,200923,21.0,0.0,0.0,0.0,0.0,21.0
128,200924,11.0,0.0,0.0,0.0,0.0,11.0
129,200925,1.0,0.0,0.0,0.0,0.0,1.0
